bloque;period;camera;charact_SBOF;ID original;lat;lon;fecha act;hora act;fecha desact;hora desact;fecha desact real;hora desact real;dias de trabajo;ele;nombre del lugar;habitat;NDVI.bloque;Ndvi.celda;si se quema;quema.celda;Si se caza aqui;caza.celda;caza.celda2;caza.bloque;conuco.dist.m;ln.conuco.dis;buf.fragmen;ln.buf.frag;dist.comun
B03;P2;IS05;B0;Is05;5,551850041;-61,05188303;2015-12-06;16:20:00;2016-02-04;15:47;2016-02-04;15:47:00;60;937;quebrada cuyaparu;bosque;0,681543;0,831;no;0;si;1;1;12;265,4;5,6;78;4,356708827;0,024518519
B03;P3;IS05;B0;Is05;5,551850041;-61,05188303;2016-02-04;15:48:00;2016-04-04;15:20;2016-04-04;15:20:00;60;937;quebrada cuyaparu;bosque;0,681543;0,831;no;0;si;1;1;12;265,4;5,6;78;4,356708827;0,024518519
B03;P1;IS16;B0;Is16;5,564330025;-61,05638998;2015-10-07;8:30:00;2015-12-07;08:24;2015-12-07;8:24:00;61;909;quebrada cuaiparu;bosque;0,681543;0,828;no;0;si;1;1;12;768,3;6,6;64;4,158883083;0,022697092
B03;P2;IS16;B0;Is16;5,564330025;-61,05638998;2015-12-07;8:24:00;2016-02-05;07:23;2016-02-05;7:23:00;60;909;quebrada cuaiparu;bosque;0,681543;0,828;no;0;si;1;1;12;768,3;6,6;64;4,158883083;0,022697092
B03;P3;IS16;B0;Is16-n;5,5648;-61,0548;2016-02-05;7:52:00;2016-04-04;11:59;2016-04-04;11:59:00;59;893,954956;Achi Paru;bosque;0,681543;0,828;no;0;si;1;1;12;946,8;6,9;62;4,127134385;0,024342252
B03;P1;IS19;B0;Is19;5,574463997;-61,04971304;2015-10-07;10:45:00;2015-12-07;09:36;2015-12-07;9:36:00;61;922;quebrada cuaiparu;bosque;0,681543;0,742;no;0;si;1;1;12;2076,6;7,6;76;4,33073334;0,033883695
B03;P2;IS19;B0;Is19;5,574463997;-61,04971304;2015-12-07;9:36:00;2016-02-05;08:46;2016-02-05;8:46:00;60;922;quebrada cuaiparu;bosque;0,681543;0,742;no;0;si;1;1;12;2076,6;7,6;76;4,33073334;0,033883695
B03;P3;IS19;B0;Is19;5,574463997;-61,04971304;2016-02-05;8:47:00;2016-04-04;11:01;2016-04-04;11:01:00;59;922;quebrada cuaiparu;bosque;0,681543;0,742;no;0;si;1;1;12;2076,6;7,6;76;4,33073334;0,033883695
B03;P1;IS20;s0;Is20;5,552732991;-61,05786804;2015-10-06;14:30:00;2015-12-06;15:40;2015-12-06;15:40:00;61;910;quebrada cuyaparu;bosque;0,681543;0,677;no;0;si;1;1;12;405,2;6,0;72;4,276666119;0,018493442
B03;P2;IS20;s0;Is20;5,552732991;-61,05786804;2015-12-06;15:40:00;2016-02-04;14:05;2016-02-04;14:05:00;60;910;quebrada cuyaparu;bosque;0,681543;0,677;no;0;si;1;1;12;405,2;6,0;72;4,276666119;0,018493442
B03;P3;IS20;B0;Is20-2n;5,5500;-61,0420;2016-02-04;15:13:00;2016-04-04;14:51;2016-04-04;14:51:00;60;1139,268188;Achi Paru;bosque;0,681543;0,796;no;0;si;1;1;12;1378,8;7,2;80;4,382026635;0,034524362
B03;P3;LEE04;B0;Lee04-2n;5,5730;-61,0430;2016-02-05;9:36:00;2016-04-04;10:56;2016-04-04;10:56:00;59;889,952087;Achi Paru;bosque;0,681543;0,825;no;0;si;1;1;12;2534,3;7,8;62;4,127134385;0,038620422
B03;P2;LEE04;Bf;Lee04-n;5,5292;-61,0560;2015-12-06;12:34:00;2016-02-04;10:29;2016-02-04;10:29:00;60;896,670166;Achi Paru;bosque;0,681543;0,852;no;0;antes;2;0;12;246,6;5,5;76;4,33073334;0,031711506
B04;P1;IS01;b0;Is01;5,562218037;-61,18524397;2015-10-04;13:50:00;2015-12-09;12:35;2015-12-09;12:35:00;66;935;Kadak tepui;bosque;0,568123;0,662;no;0;no;0;0;1;8,8;2,2;82;4,406719247;0,05835482
B04;P2;IS01;b0;Is01;5,562218037;-61,18524397;2015-12-09;12:35:00;2016-01-31;16:01;2016-01-31;16:01:00;53;935;Kadak tepui;bosque;0,568123;0,662;no;0;no;0;0;1;8,8;2,2;82;4,406719247;0,05835482
B04;P3;IS01;b0;Is01;5,562218037;-61,18524397;2016-01-31;16:02:00;2016-04-01;10:49;2016-04-01;10:49:00;61;935;Kadak tepui;bosque;0,568123;0,662;no;0;no;0;0;1;8,8;2,2;82;4,406719247;0,05835482
B04;P1;IS21;s0;Is21;5,546915028;-61,17736196;2015-10-04;17:00:00;2015-12-09;08:34;2015-12-09;8:34:00;66;913;cerca case de Eugenio;bosque;0,568123;0,595;no;0;no;0;0;1;105,8;4,7;26;3,258096538;0,007989604
B04;P2;IS21;s0;Is21;5,546915028;-61,17736196;2015-12-09;8:34:00;2016-01-31;07:18;2016-01-31;7:18:00;53;913;cerca case de Eugenio;bosque;0,568123;0,595;no;0;no;0;0;1;105,8;4,7;26;3,258096538;0,007989604
B04;P3;IS21;sF;Is21-n;5,5868;-61,1853;2016-01-31;12:17:00;2016-04-01;14:14;2016-03-11;13:43:11;40;911,748535;Mare Paru;sabana;0,568123;0,523;si;1;no;0;0;1;1908,6;7,6;26;3,258096538;0,033236566
B04;P1;IS22;Bf;Is22;5,556129003;-61,185077;2015-10-04;12:00:00;2015-12-09;11:07;2015-12-09;11:07:00;66;1188;Kadak tepui;bosque;0,568123;0,732;no;0;antes;2;0;1;670,4;6,5;72;4,276666119;0,008998757
B04;P2;IS22;Bf;Is22;5,556129003;-61,185077;2015-12-09;11:07:00;2016-01-31;17:03;2016-01-31;17:03:00;53;1188;Kadak tepui;bosque;0,568123;0,732;no;0;antes;2;0;1;670,4;6,5;72;4,276666119;0,008998757
B04;P3;IS22;Bf;Is22;5,556129003;-61,185077;2016-01-31;17:04:00;2016-04-01;09:51;2016-02-18;6:50:00;18;1188;Kadak tepui;bosque;0,568123;0,732;no;0;antes;2;0;1;670,4;6,5;72;4,276666119;0,008998757
B04;P1;IS23;b0;Is23;5,56954097;-61,17646602;2015-10-04;15:40:00;2015-12-09;15:00;2015-12-09;15:00:00;66;924;Kadak tepui;bosque;0,568123;0,643;no;0;antes;2;0;1;234,8;5,5;63;4,143134726;0,014727949
B04;P2;IS23;b0;Is23;5,56954097;-61,17646602;2015-12-09;15:00:00;2016-01-31;09:12;2016-01-31;9:12:00;53;924;Kadak tepui;bosque;0,568123;0,643;no;0;antes;2;0;1;234,8;5,5;63;4,143134726;0,014727949
B04;P3;IS23;B0;Is23-n;5,5620;-61,1980;2016-01-31;14:00:00;2016-04-01;11:40;2016-04-01;11:40:00;61;953,363464;Mare Paru;bosque;0,568123;0,693;no;0;si;1;1;1;625,6;6,4;81;4,394449155;0,022977401
B04;P1;LEE07;s0;Lee07;5,560050979;-61,17989003;2015-10-04;11:30:00;2015-12-09;10:32;2015-12-09;10:32:00;66;1052;Kadak tepui;bosque ;0,568123;0,615;no;0;antes;2;0;1;469,2;6,2;71;4,262679877;0,006419554
B04;P2;LEE07;s0;Lee07;5,560050979;-61,17989003;2015-12-09;10:32:00;2016-01-31;17:29;2016-01-12;1:18:28;34;1052;Kadak tepui;bosque ;0,568123;0,615;no;0;antes;2;0;1;469,2;6,2;71;4,262679877;0,006419554
B04;P3;LEE07;s0;Lee07;5,560050979;-61,17989003;2016-01-31;17:30:00;2016-04-01;10:01;2016-03-08;5:29:19;37;1052;Kadak tepui;bosque ;0,568123;0,615;no;0;antes;2;0;1;469,2;6,2;71;4,262679877;0,006419554
B05;P1;IS03;sF;Is03-new;5,530373007;-61,09485302;2015-10-07;15:00:00;2015-12-06;07:57;2015-12-06;7:57:00;60;907;rio wuarpa;bosqe ribereno;0,670088;0,570;no;0;si;1;1;7;2607,6;7,9;51;3,931825633;0,029633024
B05;P2;IS03;sF;Is03-new;5,530373007;-61,09485302;2015-12-06;7:57:00;2016-02-05;14:08;2016-02-05;14:08:00;61;907;rio wuarpa;bosqe ribereno;0,670088;0,570;no;0;si;1;1;7;2607,6;7,9;51;3,931825633;0,029633024
B05;P1;IS07;b0;Is07;5,459101014;-61,08397398;2015-10-02;12:57:00;2015-12-03;13:00;2015-12-03;13:00:00;62;926;quebrada Wuarpa;bosque;0,670088;0,777;no;0;antes;2;0;7;1025,3;6,9;30;3,401197382;0,089170229
B05;P3;IS07;bf;Is07-2n;5,4952;-61,0740;2016-02-02;9:23:00;2016-04-03;15:26;2016-04-03;15:26:00;61;1118,330078;San Jose de Monorepa;bosque;0,670088;0,740;no;0;si;1;1;7;1153,2;7,1;60;4,094344562;0,05836814
B05;P2;IS07;Sf;Is07-n;5,5078;-61,1062;2015-12-04;12:00:00;2016-02-01;10:23;2016-02-01;10:23:00;59;861,512146;San Jose de Wuarpa;arbustral;0,670088;0,424;si;1;no;0;0;7;2313,8;7,7;15;2,708050201;0,049940884
B05;P1;IS17;bf;Is17;5,468123965;-61,08369797;2015-10-01;14:50:00;2015-12-03;13:56;2015-12-03;13:56:00;63;916;rio Wuarupa;bosque galeria;0,670088;0,679;no;0;si;1;1;7;78,5;4,4;33;3,496507561;0,084393976
B05;P2;IS17;bf;Is17;5,468123965;-61,08369797;2015-12-03;13:56:00;2016-02-01;14:35;2016-02-01;14:35:00;60;916;rio Wuarupa;bosque galeria;0,670088;0,679;no;0;si;1;1;7;78,5;4,4;33;3,496507561;0,084393976
B05;P3;IS17;s0;Is17-2n;5,4710;-61,0950;2016-02-02;13:15:00;2016-04-03;09:41;2016-02-29;12:08:00;27;1148,10437;San Jose de Monorepa;sabana;0,670088;0,612;si;1;no;0;0;7;1355,6;7,2;19;2,944438979;0,073340619
B05;P1;LEE01;bF;Lee01;5,464605996;-61,09155097;2015-10-01;14:00:00;2015-12-03;11:35;2015-12-03;11:35:00;63;906;San Jose Monorepa;arbol sabana;0,670088;0,738;si;1;no;0;0;7;1031,1;6,9;16;2,772588722;0,079804628
