number,TI,authors,total citations,objective_principal,second_objective,third_objective,fourth_objective,extra_objective,multiobj,animal,kingdoms,carnivore,ungulate,primate,multispecies,technic,equipment,country,continent,source_title,publication_date,publication_year,volume,issue,total citations,doi
498,RELATIVE ABUNDANCE POPULATION STRUCTURE HABITAT PREFERENCES AND ACTIVITY PATTERNS OF TAPIRUS BAIRDII (PERISSODACTYLA: TAPIRIDAE) IN CHIMALAPAS FOREST OAXACA MEXICO,Lira-Torres Ivan; Briones-Salasi Miguel; Sanchez-Rojas Gerardo,0,abundance, population structure,habitat preferences, activity patterns,,MultiObj,tapir,mammals,,Ungulates,,Single,,ct,Mexico,North America,REVISTA DE BIOLOGIA TROPICAL,DEC 2014,2014,62,4,,
499,NOTEWORTHY RECORDS OF CENTRAL AMERICAN TAPIR (TAPIRUS BAIRDII) IN THE SIERRA MIXE OAXACA MEXICO,Botello Francisco; Sanchez-Hernandez Jhovani; Hernandez Omar; Reyes-Chavez Daniel; Sanchez-Cordero Victor,0,presence,,,,,,tapir,mammals,,Ungulates,,,,ct,Mexico,North America,REVISTA MEXICANA DE BIODIVERSIDAD,SEP 2014,2014,85,3,,
500,DYNAMICS OF A LOW-DENSITY TIGER POPULATION IN SOUTHEAST ASIA IN THE CONTEXT OF IMPROVED LAW ENFORCEMENT,Duangchantrasiri Somphot; Umponjan Mayuree; Simcharoen Saksit; Pattanavibool Anak; Chaiwattana Soontorn; Maneerat Sompoch; Kumar N. Samba; Jathanna Devcharan; Srivathsa Arjun; Karanth K. Ullas,0,density,,,,conservation law aplication,MultiObj,tiger,mammals,carnivore,,,single,,ct,Asia,Asia,CONSERVATION BIOLOGY,JUN 2016,2016,30,3,,
501,DEMYSTIFYING THE SUNDARBAN TIGER: NOVEL APPLICATION OF CONVENTIONAL POPULATION ESTIMATION METHODS IN A UNIQUE ECOSYSTEM,Roy Manjari; Qureshi Qamar; Naha Dipanjan; Sankar Kalyanasundaram; Gopal Rajesh; Jhala Yadvendradev Vikramsinh,0,density,,,,,,tiger,mammals,carnivore,,,single,cmr,ct,India,Asia,POPULATION ECOLOGY,JAN 2016,2016,58,1,,
502,FACTORS CONTRIBUTING TO TIGER LOSSES IN RANTHAMBHORE TIGER RESERVE INDIA,Singh Randeep; Krausman Paul R.; Goyal Surendra Prakash; Chauhan Netrapal Singh,0,conservation,species loss,,,,MultiObj,tiger,mammals,carnivore,,,single,,ct,India,Asia,WILDLIFE SOCIETY BULLETIN,SEP 2015,2015,39,3,,
503,TIGER DENSITY IN A TROPICAL LOWLAND FOREST IN THE EASTERN HIMALAYAN MOUNTAINS,Singh Randeep; Chauhan Devendra Singh; Mishra Sudhanshu; Krausman Paul R.; Goyal Surendra Prakash,0,density,,,,,,tiger,mammals,carnivore,,,single,serc,ct,India,Asia,SPRINGERPLUS,AUG 24 2014,2014,3,,,
504,DISTINGUISHING SEX OF FREE-RANGING TIGERS USING PUGMARK MEASUREMENTS,Singh R.; Qureshi Q.; Sankar K.; Krausman P. R.; Joshi B. D.; Goyal S. P.,0,sex_ratio,,,,,,tiger,mammals,carnivore,,,single,,ct,India,Asia,ITALIAN JOURNAL OF ZOOLOGY,JUN 2014,2014,81,2,,
505,ESTIMATING THE ABUNDANCE OF NEPAL'S LARGEST POPULATION OF TIGERS PANTHERA TIGRIS,Karki Jhamak B.; Pandav B.; Jnawali S. R.; Shrestha R.; Pradhan N. M. B.; Lamichane B. R.; Khanal P.; Subedi N.; Jhala Y. V.,1,abundance,,,,,,tiger,mammals,carnivore,,,single,mark-recapture,ct,Nepal,Asia,ORYX,JAN 2015,2015,49,1,,
506,THE IMPACT OF INVASIVE CANE TOADS ON NATIVE WILDLIFE IN SOUTHERN AUSTRALIA,Jolly Christopher J.; Shine Richard; Greenlees Matthew J.,1,distribution,,,,invasive species,MultiObj,toads mammals,,,,,Multiple,,ct,Australia,Australia,ECOLOGY AND EVOLUTION,SEP 2015,2015,5,18,,
507,ABUNDANCE HERD SIZE ACTIVITY PATTERN AND OCCUPANCY OF UNGULATES IN SOUTHEASTERN MEXICO,Perez-Irineo Gabriela; Santos-Moreno Antonio,0,abundance,activity pattern,occupancy,,,MultiObj,ungulates,mammals,,,,,,ct,Mexico,North America,ANIMAL BIOLOGY,2016,2016,66,1,,
508,ECOLOGICAL RELATIONSHIPS OF MESO-SCALE DISTRIBUTION IN 25 NEOTROPICAL VERTEBRATE SPECIES,Michalski Lincoln Jose; Norris Darren; de Oliveira Tadeu Gomes; Michalski Fernanda,0,distribution,,,,conservation,MultiObj,verterbrate,mammals,,,,,,ct,South America,South and Central America,PLOS ONE,MAY 4 2015,2015,10,5,,
509,DISTURBANCE IMPACTS ON LARGE RAIN-FOREST VERTEBRATES DIFFER WITH EDGE TYPE AND REGIONAL CONTEXT IN SULAWESI INDONESIA,Froese Graden Z. L.; Contasti Adrienne L.; Mustari Abdul Haris; Brodie Jedediah F.,1,presence,,,,human disturbance,MultiObj,vertrbate,mammals,,,,,,ct,Indonesia,Asia,JOURNAL OF TROPICAL ECOLOGY,NOV 2015,2015,31,,6,
510,CLIMBING BEHAVIOR OF NORTHERN RED-BACKED VOLES (MYODES RUTILUS) AND SCANSORIALITY IN MYODES (RODENTIA CRICETIDAE),Nations Jonathan A.; Olson Link E.,0,behaviour,,,,,,voles,mammals,carnivore,,,,,ct,USA,North America,JOURNAL OF MAMMALOGY,SEP 29 2015,2015,96,5,,
511,EFFECTS OF PREDATION RISK AND GROUP DYNAMICS ON WHITE-TAILED DEER FORAGING BEHAVIOR IN A LONGLEAF PINE SAVANNA,Cherry Michael J.; Conner L. Mike; Warren Robert J.,3,predation,,,,,,white tail deer coyote,mammals,,,,Multiple,,ct,USA,North America,BEHAVIORAL ECOLOGY,JUL-AUG 2015,2015,26,4,,
512,FIRST RECORDS OF WILD PIGS IN THE TERMINOS LAGOON AREA CAMPECHE MEXICO,Hidalgo-Mihart Mircea G.; Perez-Hernandez Daniel; Perez-Solano Luz A.; Contreras-Moreno Fernando; Angulo-Morales Javier; Hernandez-Nava Jose,0,presence,,,,,,wild pig,mammals,carnivore,,,,,ct,Mexico,North America,REVISTA MEXICANA DE BIODIVERSIDAD,SEP 2014,2014,85,3,,
513,LOCAL-LEVEL DETERMINANTS OF WILDCAT OCCUPANCY IN NORTHEAST SCOTLAND,Silva Andre P.; Rosalino Luis M.; Johnson Paul J.; Macdonald David W.; Anderson Neil; Kilshaw Kerry,1,occupancy,,,,,,wildcat,mammals,carnivore,,,single,occu,ct,Mexico,North America,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,JUN 2013,2013,59,3,,
514,MAPPING THE SPATIAL CONFIGURATION OF HYBRIDIZATION RISK FOR AN ENDANGERED POPULATION OF THE EUROPEAN WILDCAT (FELIS SILVESTRIS SILVESTRIS) IN SCOTLAND,Kilshaw Kerry; Montgomery Robert A.; Campbell Ruairidh D.; Hetherington David A.; Johnson Paul J.; Kitchener Andrew C.; Macdonald David W.; Millspaugh Joshua J.,0,distribution,,,,hybridization,MultiObj,wildcat,mammals,carnivore,,,single,,ct,Scotland,Europe,MAMMAL RESEARCH,JAN 2016,2016,61,1,,
515,CAMERA TRAPPING AND CONSERVATION IN LANJAK ENTIMAU WILDLIFE SANCTUARY SARAWAK BORNEO,Mohd-Azlan J.; Engkamat L.,1,inventory,,,,,,wildlife,mammals,carnivore,,,,,ct,Borneo,Asia,RAFFLES BULLETIN OF ZOOLOGY,FEB 28 2013,2013,61,1,,
516,LONG-DISTANCE DISPERSAL CONNECTS DINARIC-BALKAN AND ALPINE GREY WOLF (CANIS LUPUS) POPULATIONS,Razen Nina; Brugnoli Alessandro; Castagna Chiara; Groff Claudio; Kaczensky Petra; Kljun Franci; Knauer Felix; Kos Ivan; Krofel Miha; Lustrik Roman; Majic Aleksandra; Rauer Georg; Righetti Davide; Potocnik Hubert,0,dispersal,,,,,,wolf,mammals,carnivore,,,,,ct,Balkan,Europe,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,FEB 2016,2016,62,1,,
517,CAMERA TRAPS ON WILDLIFE CROSSING STRUCTURES AS A TOOL IN GRAY WOLF (CANIS LUPUS) MANAGEMENT - FIVE-YEARS MONITORING OF WOLF ABUNDANCE TRENDS IN CROATIA,Sver Lidija; Bielen Ana; Krizan Josip; Guzvica Goran,0,conservation,,,,green bridge ,MultiObj,wolf,mammals,carnivore,,,,,ct,Croatia,Europe,PLOS ONE,JUN 21 2016,2016,11,6,,
518,A CAMERA TRAPPING SURVEY REVEALS A MELANISTIC GREY WOLF (CANIS LUPUS) IN AN UNUSUAL HABITAT IN TURKEY (MAMMALIA: CARNIVORA),Ilemin Yasin,0,habitat_use,,,,,,wolf,mammals,carnivore,,,,,ct,Turkey,Asia,ZOOLOGY IN THE MIDDLE EAST,2014,2014,60,1,,
519,WOLVERINE BEHAVIOR VARIES SPATIALLY WITH ANTHROPOGENIC FOOTPRINT: IMPLICATIONS FOR CONSERVATION AND INFERENCES ABOUT DECLINES,Stewart Frances E. C.; Heim Nicole A.; Clevenger Anthony P.; Paczkowski John; Volpe John P.; Fisher Jason T.,0,behaviour,,,,human impact,MultiObj,wolverine,mammals,carnivore,,,,,,,,ECOLOGY AND EVOLUTION,MAR 2016,2016,6,5,,
520,CONTEXT DEPENDENCE OF RISK EFFECTS: WOLVES AND TREE LOGS CREATE PATCHES OF FEAR IN AN OLD-GROWTH FOREST,Kuijper Dries P. J.; Bubnicki Jakub W.; Churski Marcin; Mols Bjorn; van Hooft Pim,0,behaviour,,,,,,wolves,mammals,carnivore,,,,,ct,Poland,Europe,BEHAVIORAL ECOLOGY,NOV-DEC 2015,2015,26,6,,
521,RECORD OF PUMA YAGOUAROUNDI FROM ZICUIRAN-INFIERNILLO BIOSPHERE RESERVE MICHOACAN,Adonay Urrea-Galeano Lina; Rojas-Lopez Misael; Sanchez-Sanchez Lorenzo; Ibarra-Manriquez Guillermo,0,presence,,,,,,yagoarundi,mammals,carnivore,,,single,,ct,Mexico,North America,REVISTA MEXICANA DE BIODIVERSIDAD,JUN 2016,2016,87,2,,
522,THE ROLE OF FRAGMENTATION AND LANDSCAPE CHANGES IN THE ECOLOGICAL RELEASE OF COMMON NEST PREDATORS IN THE NEOTROPICS,Cove Michael V.; Manuel Spinola R.; Jackson Victoria L.; Saenz Joel C.,1,nest_predation,,,,fragmentation,MultiObj,,,,,,,occu,ct,Costa Rica,South and Central America,PEERJ,JUL 1 2014,2014,2,,,
523,PRECARIOUS STATUS OF THE ENDANGERED DHOLE CUON ALPINUS IN THE HIGH ELEVATION EASTERN HIMALAYAN HABITATS OF KHANGCHENDZONGA BIOSPHERE RESERVE SIKKIM INDIA,Bashir Tawqir; Bhattacharya Tapajit; Poudyal Kamal; Roy Manjari; Sathyakumar Sambandam,1,abundance,distribution ,activity patterns,,,MultiObj,,,,,,,occu,ct,India,Asia,ORYX,JAN 2014,2014,48,1,,
524,USAGE OF SPECIALIZED FENCE-GAPS IN A BLACK RHINOCEROS CONSERVANCY IN KENYA,Dupuis-Desormeaux Marc; Davidson Zeke; Mwololo Mary; Kisio Edwin; MacDonald Suzanne E.,0,conservation,,,,fence gap green bridges,MultiObj,,,,,,,,ct,Kenya,Africa,AFRICAN JOURNAL OF WILDLIFE RESEARCH,APR 2016,2016,46,1,,
525,MAMMALIAN WILDLIFE TOURISM IN SOUTH-EAST ASIAN TROPICAL RAINFORESTS: THE CASE OF ENDAU ROMPIN NATIONAL PARK MALAYSIA,Aihara Y.; Hosaka T.; Yasuda M.; Hashim M.; Numata S.,0,survey,,,,tourism,MultiObj,,,,,,,,ct,Malaysia,Asia,JOURNAL OF TROPICAL FOREST SCIENCE,2016,2016,28,2,,
526,OUT ON A LIMB: ARBOREAL CAMERA TRAPS AS AN EMERGING METHODOLOGY FOR INVENTORYING ELUSIVE RAINFOREST MAMMALS,Whitworth Andrew; Braunholtz Laura Dominie; Huarcaya Ruthmery Pillco; MacLeod Ross; Beirne Christopher,0,presence,elusive species arboreal,,,,MultiObj,,,,,,,,ct,Peru,South and Central America,TROPICAL CONSERVATION SCIENCE,JUN 2016,2016,9,2,,
527,A GENERALIZED APPROACH FOR PRODUCING QUANTIFYING AND VALIDATING CITIZEN SCIENCE DATA FROM WILDLIFE IMAGES,Swanson Alexandra; Kosmala Margaret; Lintott Chris; Packer Craig,1,commentary,,,,citizen science,MultiObj,,,,,,,,ct,Tanzania,Africa,CONSERVATION BIOLOGY,JUN 2016,2016,30,3,,
528,COMPARATIVE ANALYSIS OF THREE DIFFERENT METHODS FOR MONITORING THE USE OF GREEN BRIDGES BY WILDLIFE,Guzvica Goran; Bosnjak Ivana; Bielen Ana; Babic Danijel; Radanovic-Guzvica Biserka; Sver Lidija,2,review,,,,green bridge ,MultiObj,,,,,,,,,,,PLOS ONE,AUG 29 2014,2014,9,8,,
529,CAMERA TRAPPING FOR THE STUDY AND CONSERVATION OF TROPICAL CARNIVORES,Sunarto; Sollmann Rahel; Mohamed Azlan; Kelly Marcella J.,2,review,,,,,,,,,,,,,,,,RAFFLES BULLETIN OF ZOOLOGY,NOV 27 2013,2013,,,,28
530,TRACE-CONTRAST MODELS FOR CAPTURE-RECAPTURE WITHOUT CAPTURE HISTORIES,Fewster R. M.; Stevenson B. C.; Borchers D. L.,1,methodology,,,,,,,,,,,,,,,,STATISTICAL SCIENCE,MAY 2016,2016,31,2,,
531,SPATIAL CAPTURE-RECAPTURE MODELS ALLOWING MARKOVIAN TRANSIENCE OR DISPERSAL,Royle J. Andrew; Fuller Angela K.; Sutherland Chris,1,methodology,,,,,,,,,,,,,,,,POPULATION ECOLOGY,JAN 2016,2016,58,1,,
532,EXAMINING TEMPORAL SAMPLE SCALE AND MODEL CHOICE WITH SPATIAL CAPTURE-RECAPTURE MODELS IN THE COMMON LEOPARD PANTHERA PARDUS,Goldberg Joshua F.; Tempa Tshering; Norbu Nawang; Hebblewhite Mark; Mills L. Scott; Wangchuk Tshewang R.; Lukacs Paul,1,methodology,,,,,,,,,,,,,,,,PLOS ONE,NOV 4 2015,2015,10,11,,
533,MULTIMARK: AN R PACKAGE FOR ANALYSIS OF CAPTURE-RECAPTURE DATA CONSISTING OF MULTIPLE NONINVASIVE MARKS,McClintock Brett T.,1,methodology,,,,,,,,,,,,,,,,Ecology and Evolution,NOV 2015,2015,5,21,,
534,NON-INVASIVE MONITORING OF THE EUROPEAN WILDCAT (FELIS SILVESTRIS SILVESTRIS SCHREBER 1777): COMPARATIVE ANALYSIS OF THREE DIFFERENT MONITORING TECHNIQUES AND EVALUATION OF THEIR INTEGRATION,Velli Edoardo; Bologna Marco A.; Silvia Castelli; Ragni Bernardino; Randi Ettore,1,methodology,,,,,,,,,,,,,,,,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,OCT 2015,2015,61,5,,
535,INCORPORATING ANTHROPOGENIC EFFECTS INTO TROPHIC ECOLOGY: PREDATOR-PREY INTERACTIONS IN A HUMAN-DOMINATED LANDSCAPE,Dorresteijn Ine; Schultner Jannik; Nimmo Dale G.; Fischer Joern; Hanspach Jan; Kuemmerle Tobias; Kehoe Laura; Ritchie Euan G.,1,methodology,,,,human disturbance,MultiObj,,,,,,,,,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,SEP 7 2015,2015,282,1814,,
536,RANDOM VERSUS GAME TRAIL-BASED CAMERA TRAP PLACEMENT STRATEGY FOR MONITORING TERRESTRIAL MAMMAL COMMUNITIES,Cusack Jeremy J.; Dickman Amy J.; Rowcliffe J. Marcus; Carbone Chris; Macdonald David W.; Coulson Tim,1,methodology,,,,,,,,,,,,,,,,PLOS ONE,MAY 7 2015,2015,10,5,,
537,WHY CAMERA TRAPS FAIL TO DETECT A SEMI-AQUATIC MAMMAL: ACTIVATION DEVICES AS POSSIBLE CAUSE,Lerone Laura; Carpaneto Giuseppe M.; Loy Anna,1,review,,,,,,,,,,,,,,,,WILDLIFE SOCIETY BULLETIN,MAR 2015,2015,39,1,,
538,MODELLING THE ECOLOGICAL NICHE OF AN ENDANGERED POPULATION OF PUMA CONCOLOR: FIRST APPLICATION OF THE GNESFA METHOD TO AN ELUSIVE CARNIVORE,Caruso N.; Guerisoli M.; Vidal E. M. Luengos; Castillo D.; Casanave E. B.; Lucherini M.,1,methodology,,,,,,,,,,,,,,,,ECOLOGICAL MODELLING,FEB 10 2015,2015,297,,,
539,A MULTI-METHOD HIERARCHICAL MODELING APPROACH TO QUANTIFYING BIAS IN OCCUPANCY FROM NONINVASIVE GENETIC TAGGING STUDIES,Fisher Jason T.; Bradbury Steve,1,methodology,,,,,,,,,,,,,,,,JOURNAL OF WILDLIFE MANAGEMENT,AUG 2014,2014,78,6,,
540,BAYES AND EMPIRICAL BAYES ESTIMATORS OF ABUNDANCE AND DENSITY FROM SPATIAL CAPTURE-RECAPTURE DATA,Dorazio Robert M.,1,methodology,,,,,,,,,,,,,,,,PLOS ONE,DEC 27 2013,2013,8,12,,
541,WILDLIFE DETECTOR DOGS AND CAMERA TRAPS: A COMPARISON OF TECHNIQUES FOR DETECTING FERAL CATS,Glen A. S.; Anderson D.; Veltman C. J.; Garvey P. M.; Nichols M.,0,methodology,,,,,,,,,,,,,,,,NEW ZEALAND JOURNAL OF ZOOLOGY,JUN 2016,2016,43,2,,
542,LIMITED CARBON AND BIODIVERSITY CO-BENEFITS FOR TROPICAL FOREST MAMMALS AND BIRDS,Beaudrot Lydia; Kroetz Kailin; Alvarez-Loayza Patricia; Amaral Ieda; Breuer Thomas; Fletcher Christine; Jansen Patrick A.; Kenfack David; Moreira Lima Marcela Guimaraes; Marshall Andrew R.; Martin Emanuel H.; Ndoundou-Hockemba Mireile; O'Brien Timothy; Razafimahaimodison Jean Claude; Romero-Saltos Hugo; Rovero Francesco; Roy Cisquet Hector; Sheil Douglas; Silva Carlos E. F.; Spironello Wilson Roberto; Valencia Renato; Zvoleff Alex; Ahumada Jorge; Andelman Sandy,0,ecology,,,,,,,mammals birds,,,,,,,,,ECOLOGICAL APPLICATIONS,JUN 2016,2016,26,4,,
543,ARE WE GETTING THE FULL PICTURE? ANIMAL RESPONSES TO CAMERA TRAPS AND IMPLICATIONS FOR PREDATOR STUDIES,Meek Paul; Ballard Guy; Fleming Peter; Falzon Greg,0,review,,,,,,,,,,,,,,,,ECOLOGY AND EVOLUTION,MAY 2016,2016,6,10,,
544,CPW PHOTO WAREHOUSE: A CUSTOM DATABASE TO FACILITATE ARCHIVING IDENTIFYING SUMMARIZING AND MANAGING PHOTO DATA COLLECTED FROM CAMERA TRAPS,Ivan Jacob S.; Newkirk Eric S.,0,methodology,,,,,,,,,,,,,,,,METHODS IN ECOLOGY AND EVOLUTION,APR 2016,2016,7,4,,
545,CHANGES IN SPATIAL PATTERNS OF SIKA DEER DISTRIBUTION AND HERBIVORY OF PLANTED SEEDLINGS: A COMPARISON BEFORE AND AFTER DEER POPULATION CONTROL BY CULLING,Enoki Tsutomu; Yabe Tsuneaki; Koizumi Toru,0,distribution,,,,,,deers,mammals birds,,ungulate,,single,,,,,JOURNAL OF FOREST RESEARCH,APR 2016,2016,21,2,,
546,A COMPARISON OF SURVEY TECHNIQUES FOR MEDIUM- TO LARGE-SIZED MAMMALS IN FORESTED WETLANDS,Rockhill Aimee P.; Sollman Rahel; Powell Roger A.; DePerno Christopher S.,0,methodology,,,,,,,,,,,,,,,,SOUTHEASTERN NATURALIST,MAR 2016,2016,15,1,,
547,SPATIAL CAPTURE-RECAPTURE: A PROMISING METHOD FOR ANALYZING DATA COLLECTED USING ARTIFICIAL COVER OBJECTS,Sutherland Chris; Munoz David J.; Miller David A. W.; Grant Evan H. Campbell,0,methodology,,,,,,,,,,,,scr,,,,HERPETOLOGICA,MAR 2016,2016,72,1,,
548,PHOTOGRAPHIC IDENTIFICATION OF INDIVIDUALS OF A FREE-RANGING SMALL TERRESTRIAL VERTEBRATE,Treilibs Claire E.; Pavey Chris R.; Hutchinson Mark N.; Bull C. Michael,0,methodology,,,,,,,,,,,,,,,,ECOLOGY AND EVOLUTION,FEB 2016,2016,6,3,,
549,STUDY DESIGN AND BODY MASS INFLUENCE RAIS FROM CAMERA TRAP STUDIES: EVIDENCE FROM THE FELIDAE,Anile S.; Devillard S.,0,methodology,,,,,,,,,,,,,,,,ANIMAL CONSERVATION,FEB 2016,2016,19,1,,
550,PHOTO-ID AS A TOOL FOR STUDYING AND MONITORING THE ENDANGERED SAIMAA RINGED SEAL,Koivuniemi Meeri; Auttila Miina; Niemi Marja; Levanen Riikka; Kunnasranta Mervi,0,methodology,,,,,,,,,,,,,,,,ENDANGERED SPECIES RESEARCH,2016,2016,30,,,
551,LIMITATIONS TO RECORDING LARGER MAMMALIAN PREDATORS IN SAVANNAH USING CAMERA TRAPS AND SPOOR,Pirie Tara J.; Thomas Rebecca L.; Fellowes Mark D. E.,0,methodology,,,,,,,,,,,,,,,,WILDLIFE BIOLOGY,JAN 2016,2016,22,1,,
552,AN OASIS IN THE DESERT: THE POTENTIAL OF WATER SOURCES AS CAMERA TRAP SITES IN ARID ENVIRONMENTS FOR SURVEYING A CARNIVORE GUILD,Edwards Sarah; Gange Alan C.; Wiesel Ingrid,0,methodology,camera placement,,,,MultiObj,,,,,,,,,,,JOURNAL OF ARID ENVIRONMENTS,JAN 2016,2016,124,,,
553,DEFINING HABITAT COVARIATES IN CAMERA-TRAP BASED OCCUPANCY STUDIES,Niedballa Juergen; Sollmann Rahel; bin Mohamed Azlan; Bender Johannes; Wilting Andreas,0,methodology,,,,,,,,,,,,,,,,SCIENTIFIC REPORTS,NOV 24 2015,2015,5,,,
554,FACTORS AFFECTING THE IDENTIFICATION OF INDIVIDUAL MOUNTAIN BONGO ANTELOPE,Gibbon Gwili E. M.; Bindemann Markus; Roberts David L.,0,methodology,individual identyfication,,,,MultiObj,,,,,,,,,,,PEERJ,NOV 12 2015,2015,3,,,
555,ADVANCES IN CAMERA TRAP DATA MANAGEMENT TOOLS: TOWARDS COLLABORATIVE DEVELOPMENT AND INTEGRATION WITH GIS,Zaragozi B.; Belda A.; Gimenez P.; Navarro J. T.; Bonet A.,0,methodology,,,,,,,,,,,,,,,,ECOLOGICAL INFORMATICS,NOV 2015,2015,30,,,
556,ASSESSING UNVERIFIED OBSERVATION DATA USED FOR ESTIMATING IBERIAN LYNX DISTRIBUTION,Garrote German; Perez de Ayala Ramon,0,methodology,,,,,,,,,,,,,,,,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,OCT 2015,2015,61,5,,
557,AN EVALUATION OF METHODS TO ATTRACT URBAN MESOCARNIVORES TO TRACK PLATES AND CAMERA TRAPS,Jordan Mark J.; Lobb-Rabe Meike,0,methodology,,,,,,,,,,,,,,,,NORTHWEST SCIENCE,SEP 2015,2015,89,4,,
558,SPATIALLY EXPLICIT CAPTURE-RECAPTURE ANALYSIS OF BOBCAT (LYNX RUFUS) DENSITY: IMPLICATIONS FOR MESOCARNIVORE MONITORING,Thornton Daniel H.; Pekins Charles E.,0,methodology,,,,,,,,,,,,secr,,,,WILDLIFE RESEARCH,SEP 2015,2015,42,5,,
559,THE EFFECTIVENESS AND COST OF CAMERA TRAPS FOR SURVEYING SMALL REPTILES AND CRITICAL WEIGHT RANGE MAMMALS: A COMPARISON WITH LABOUR-INTENSIVE COMPLEMENTARY METHODS,Welbourne Dustin J.; MacGregor Christopher; Paull David; Lindenmayer David B.,0,methodology,,,,,,,,,,,,,reptiles mammals,,,WILDLIFE RESEARCH,SEP 2015,2015,42,5,,
560,THE USE OF REMOTE CAMERAS FOR MONITORING CAGE TRAPS DURING ANIMAL TRAPPING,Campbell Ruairidh D.; Griffith Monica,0,methodology,,,,,,,,,,,,,,,,ECOLOGICAL RESEARCH,SEP 2015,2015,30,5,,
561,CAMERA TRAPS AND MARK-RESIGHT MODELS: THE VALUE OF ANCILLARY DATA FOR EVALUATING ASSUMPTIONS,Parsons Arielle W.; Simons Theodore R.; Pollock Kenneth H.; Stoskopf Michael K.; Stocking Jessica J.; O'Connell Allan F. Jr.,0,methodology,,,,,,,,,,,,mark resigh model,,,,JOURNAL OF WILDLIFE MANAGEMENT,SEP 2015,2015,79,7,,
562,USING CAMERA-TRAP TECHNOLOGY TO IMPROVE UNDERGRADUATE EDUCATION AND CITIZEN-SCIENCE CONTRIBUTIONS IN WILDLIFE RESEARCH,Karlin Melissa; De La Paz Gabrielle,0,education,,,,,,,,,,,,,,,,SOUTHWESTERN NATURALIST,JUN-SEP 2015,2015,60,2-3,,
563,SEX DEPENDENT SPATIALLY EXPLICIT STOCHASTIC DISPERSAL MODELING AS A FRAMEWORK FOR THE STUDY OF JAGUAR CONSERVATION AND MANAGEMENT IN SOUTH AMERICA,Bernal-Escobar Adriana; Payan Esteban; Cordovez Juan M.,0,methodology,,,,,,,,,,,,,,,,ECOLOGICAL MODELLING,MAR 10 2015,2015,299,,,
564,MOTIONMEERKAT: INTEGRATING MOTION VIDEO DETECTION AND ECOLOGICAL MONITORING,Weinstein Ben G.,0,methodology,,,,,,,,,,,,,,,,METHODS IN ECOLOGY AND EVOLUTION,MAR 2015,2015,6,3,,
565,AVAILABILITY OF LARGE SEED-DISPERSERS FOR RESTORATION OF DEGRADED TROPICAL FOREST,Lindsell Jeremy A.; Lee David C.; Powell Victoria J.; Gemita Elva,0,review,,,,,,,,,,,,,,,,TROPICAL CONSERVATION SCIENCE,MAR 2015,2015,8,1,,
566,A NOVEL METHOD FOR CAMERA-TRAPPING SMALL MAMMALS,McCleery Robert A.; Zweig Christa L.; Desa Melissa A.; Hunt Rodney; Kitchens Wiley M.; Percival H. Franklin,0,methodology,,,,,,,,,,,,,,,,WILDLIFE SOCIETY BULLETIN,DEC 2014,2014,38,4,,
567,COMMON SPECIES AFFECTS THE UTILITY OF NON-INVASIVE GENETIC MONITORING OF A CRYPTIC ENDANGERED MAMMAL: THE BRIDLED NAILTAIL WALLABY,Nuske Susan; Fisher Diana; Seddon Jennifer,0,methodology,,,,,,,,,,,,,,,,AUSTRAL ECOLOGY,SEP 2014,2014,39,6,,
568,DO AVAILABLE PRODUCTS TO MASK HUMAN SCENT INFLUENCE CAMERA TRAP SURVEY RESULTS?,Munoz David; Kapfer Joshua; Olfenbuttel Colleen,0,methodology,,,,,,,,,,,,,,,,WILDLIFE BIOLOGY,AUG 2014,2014,20,4,,
569,COMPARISON OF TRAPPING AND CAMERA SURVEY METHODS FOR DETERMINING PRESENCE OF ALLEGHENY WOODRATS,Castleberry Steven B.; Mengak Michael T.; Menken Theron E.,0,methodology,,,,,,,,,,,,,,,,WILDLIFE SOCIETY BULLETIN,JUN 2014,2014,38,2,,
570,ANIMAL ATTENDANCE AT M-44 SODIUM CYANIDE EJECTOR SITES FOR COYOTES,Shivik John A.; Mastro Lauren; Young Julie K.,0,poisoning,,,,poisoning,,,,,,,,,,,,WILDLIFE SOCIETY BULLETIN,MAR 2014,2014,38,1,,
571,CAMERA-TRAPPING AS A METHODOLOGY TO ASSESS THE PERSISTENCE OF WILDLIFE CARCASSES RESULTING FROM COLLISIONS WITH HUMAN-MADE STRUCTURES,Paula Joao J. S.; Bispo Regina M. B.; Leite Andreia H.; Pereira Pedro G. S.; Costa Hugo M. R. G.; Fonseca Carlos M. M. S.; Mascarenhas Miguel R. T.; Bernardino Joana L. V.,0,methodology,,,,,,,,,,,,,,,,WILDLIFE RESEARCH,2014,2014,41,8,,
572,A SPATIALLY EXPLICIT APPROACH FOR ESTIMATING SPACE USE AND DENSITY OF COMMON GENETS,Sarmento P.; Cruz J.; Eira C.; Fonseca C.,0,methodology,,,,,,,,,,,,,,,,ANIMAL BIODIVERSITY AND CONSERVATION,2014,2014,37,1,,
