number,TI,authors,total citations,objective_principal,second_objective,third_objective,fourth_objective,extra_objective,multiobj,animal,kingdoms,carnivore,ungulate,primate,multispecies,technic,equipment,country,continent,source_title,publication_date,publication_year,volume,issue,total citations,doi
28,DENSITY AND HABITAT USE OF THE LEOPARD CAT (PRIONAILURUS BENGALENSIS) IN THREE COMMERCIAL FOREST RESERVES IN SABAH MALAYSIAN BORNEO,Mohamed Azlan; Sollmann Rahel; Bernard Henry; Ambu Laurentius N.; Lagan Peter; Mannan Sam; Hofer Heribert; Wilting Andreas,14,density,habitat use,,,,MultiObj,leopard and hyaena,mammals,carnivore,,,Multiple,spatial c-r,ct,Borneo,Asia,JOURNAL OF MAMMALOGY,FEB 2013,2013,94,1,,
29,SPATIAL AND TEMPORAL INTERACTIONS BETWEEN LIVESTOCK AND WILDLIFE IN SOUTH CENTRAL SPAIN ASSESSED BY CAMERA TRAPS,Kukielka E.; Barasona J. A.; Cowie C. E.; Drewe J. A.; Gortazar C.; Cotarelo I.; Vicente J.,14,behaviour,interaction,,,,MultiObj,livestock,mammals,,Ungulates,,,,ct,Spain,Europe,PREVENTIVE VETERINARY MEDICINE,NOV 1 2013,2013,112,3-4,,
30,ABUNDANCE OF RARE AND ELUSIVE SPECIES: EMPIRICAL INVESTIGATION OF CLOSED VERSUS SPATIALLY EXPLICIT CAPTURE-RECAPTURE MODELS WITH LYNX AS A CASE STUDY,Blanc Laetitia; Marboutin Eric; Gatti Sylvain; Gimenez Olivier,11,abundance,,,,,,lynx,mammals,carnivore,,,,cr SERC,ct,Europe,Europe,JOURNAL OF WILDLIFE MANAGEMENT,FEB 2013,2013,77,2,,
31,WILL ARBOREAL MAMMALS USE ROPE-BRIDGES ACROSS A HIGHWAY IN EASTERN AUSTRALIA?,Goldingay Ross L.; Rohweder David; Taylor Brendan D.,10,presence,,,,green bridges,MultiObj,mammals,mammals,,,,,,ct,Australia,Australia,AUSTRALIAN MAMMALOGY,2013,2013,35,1,,
32,IMPACT OF CLIMATE AND MOONLIGHT ON A VENOMOUS MAMMAL THE JAVAN SLOW LORIS (NYCTICEBUS JAVANICUS GEOFFROY 1812),Rode-Margono Eva Johanna; Nekaris K. Anne-Isola,6,behaviour,climate ,,,,MultiObj,mammals,mammals,,,,,,ct,Java,Asia,CONTRIBUTIONS TO ZOOLOGY,2014,2014,83,4,,
33,TERRESTRIALITY IN THE BORNEAN ORANGUTAN (PONGO PYGMAEUS MORIO) AND IMPLICATIONS FOR THEIR ECOLOGY AND CONSERVATION,Loken Brent; Spehar Stephanie; Rayadin Yaya,10,presence,terrestrality ecology,,,,MultiObj,orangutan,mammals,,,primate,,,ct,Borneo,Asia,AMERICAN JOURNAL OF PRIMATOLOGY,NOV 2013,2013,75,11,,
34,MAMMAL ABUNDANCES AND SEED TRAITS CONTROL THE SEED DISPERSAL AND PREDATION ROLES OF TERRESTRIAL MAMMALS IN A COSTA RICAN FOREST,Kuprewicz Erin K.,7,abundance,,,,seed dispersal,MultiObj,peccary agouti,mammals,,,,Multiple,,ct,Costa Rica,South and Central America,BIOTROPICA,MAY 2013,2013,45,3,,
35,TIGERS LEOPARDS AND DHOLES IN A HALF-EMPTY FOREST: ASSESSING SPECIES INTERACTIONS IN A GUILD OF THREATENED CARNIVORES,Steinmetz Robert; Seuaturien Naret; Chutipong Wanlop,13,interaction,occurence,,,guild,MultiObj,tigers leopards dholes,mammals,,,,Multiple,,ct and survey,Asia,Asia,BIOLOGICAL CONSERVATION,JUL 2013,2013,163,,,
36,LACK OF TROPHIC RELEASE WITH LARGE MAMMAL PREDATORS AND PREY IN BORNEO,Brodie Jedediah F.; Giordano Anthony,12,abundance,lack of trophic release,,,,,,,,,,,,ct,Borneo,Asia,BIOLOGICAL CONSERVATION,JUL 2013,2013,163,,,
37,WILDLIFE CAMERA TRAPPING: A REVIEW AND RECOMMENDATIONS FOR LINKING SURVEYS TO ECOLOGICAL PROCESSES,Burton A. Cole; Neilson Eric; Moreira Dario; Ladle Andrew; Steenweg Robin; Fisher Jason T.; Bayne Erin; Boutin Stan,11,methodology,linking surveys to ecological processes,,,,MultiObj,,,,,,,,,,,JOURNAL OF APPLIED ECOLOGY,JUN 2015,2015,52,3,,
38,INTERBIRTH INTERVAL AND LITTER SIZE OF FREE-RANGING BENGAL TIGER (PANTHERA TIGRIS TIGRIS) IN DRY TROPICAL DECIDUOUS FORESTS OF INDIA,Singh Randeep; Majumder Aniruddha; Sankar Kalyanasundaram; Qureshi Qamar; Goyal Surendra Prakash; Nigam Parag,12,inventory,litter size and interbirth interval,,,,MultiObj,tiger bengal ,mammals,carnivore,,,,,ct telementry,India,Asia,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,OCT 2013,2013,59,5,,
39,HOW DOES A CARNIVORE GUILD UTILISE A SUBSTANTIAL BUT UNPREDICTABLE ANTHROPOGENIC FOOD SOURCE? SCAVENGING ON HUNTER-SHOT UNGULATE CARCASSES BY WILD DOGS/DINGOES RED FOXES AND FERAL CATS IN SOUTH-EASTERN AUSTRALIA REVEALED BY CAMERA TRAPS,Forsyth David M.; Woodford Luke; Moloney Paul D.; Hampton Jordan O.; Woolnough Andrew P.; Tucker Mark,5,interaction,,,,scavengers,MultiObj,carnivores,mammals,carnivore,,,,,ct,Australia,Australia,PLOS ONE,JUN 11 2014,2014,9,6,,
40,FOREST COVER OUTSIDE PROTECTED AREAS PLAYS AN IMPORTANT ROLE IN THE CONSERVATION OF THE VULNERABLE GUINA LEOPARDUS GUIGNA,Galvez Nicolas; Hernandez Felipe; Laker Jerry; Gilabert Horacio; Petitpas Robert; Bonacic Cristian; Gimona Alessandro; Hester Alison; Macdonald David W.,11,occupancy,,,,habitat loss and fragmentation,MultiObj,carnivores,mammals,carnivore,,,,,ct,Chile,South and Central America,ORYX,APR 2013,2013,47,2,,
41,WAITING FOR GAJAH: AN ELEPHANT MUTUALIST'S CONTINGENCY PLAN FOR AN ENDANGERED MEGAFAUNAL DISPERSER,Sekar Nitin; Sukumar Raman,8,seed_dispersal,,,,,,elephant,mammals,,Ungulates,,Single,,ct dung collection,Asia,Asia,JOURNAL OF ECOLOGY,NOV 2013,2013,101,6,,
42,USING DETECTION DOGS AND GENETIC ANALYSES OF SCAT TO EXPAND KNOWLEDGE AND ASSIST FELID CONSERVATION IN MISIONES ARGENTINA,DeMatteo Karen E.; Rinas Miguel A.; Argueelles Carina F.; Holman Bernardo E.; Di Bitetti Mario S.; Davenport Barbara; Parker Patricia G.; Eggert Lori S.,5,presence,,,,,,felid,mammals,carnivore,,,,,ct,Argentina,South and Central America,INTEGRATIVE ZOOLOGY,NOV 2014,2014,9,5,,
43,COMBINING CAMERA-TRAPPING AND NONINVASIVE GENETIC DATA IN A SPATIAL CAPTURE-RECAPTURE FRAMEWORK IMPROVES DENSITY ESTIMATES FOR THE JAGUAR,Sollmann Rahel; Torres Natalia Mundim; Furtado Mariana Malzoni; de Almeida Jacomo Anah Tereza; Palomares Francisco; Roques Severine; Silveira Leandro,9,density,,,,,,jaguar,mammals,carnivore,,,,scr,ct genetic data,Brazil,South and Central America,BIOLOGICAL CONSERVATION,NOV 2013,2013,167,,,
44,JAGUAR AND PUMA ACTIVITY PATTERNS AND PREDATOR-PREY INTERACTIONS IN FOUR BRAZILIAN BIOMES,Foster Vania C.; Sarmento Pedro; Sollmann Rahel; Torres Natalia; Jacomo Anah T. A.; Negroes Nuno; Fonseca Carlos; Silveira Leandro,10,activity_pattern,interaction,,,,MultiObj,jaguar and puma,mammals,carnivore,,,Multiple,,ct,Brazil,South and Central America,BIOTROPICA,MAY 2013,2013,45,3,,
45,CANOPY BRIDGES AS ROAD OVERPASSES FOR WILDLIFE IN URBAN FRAGMENTED LANDSCAPES,Teixeira Fernanda Zimmermann; Printes Rodrigo Cambara; Godoy Fagundes Joao Claudio; Alonso Andre Chein; Kindel Andreas,5,presence,,,,green passage fragmentation,MultiObj,mammals,mammals,,,,,,ct,Brazil,South and Central America,BIOTA NEOTROPICA,JAN-MAR 2013,2013,13,1,,
46,INTO THE NIGHT: CAMERA TRAPS REVEAL NOCTURNAL ACTIVITY IN A PRESUMPTIVE DIURNAL PRIMATE RHINOPITHECUS BRELICHI,Tan Chia L.; Yang Yeqin; Niu Kefeng,11,activity_pattern,,,,,,primate,mammals,,,primate,,,ct,Asia,Asia,PRIMATES,JAN 2013,2013,54,1,,
47,QUANTIFYING ASSOCIATIONS OF LARGE VERTEBRATES WITH SALMON IN RIPARIAN AREAS OF BRITISH COLUMBIA STREAMS BY MEANS OF CAMERA-TRAPS BAIT STATIONS AND HAIR SAMPLES,Shardlow Thomas F.; Hyatt Kim D.,9,presence,associacion big verterbrats with salmon,,,,MultiObj,salmon and bear,,,,,Multiple,,ct,Canada,North America,ECOLOGICAL INDICATORS,APR 2013,2013,27,,,
48,TERRESTRIAL ACTIVITY PATTERNS OF WILD CATS FROM CAMERA-TRAPPING,Lynam Antony J.; Jenks Kate E.; Tantipisanuh Naruemon; Chutipong Wanlop; Ngoprasert Dusit; Gale George A.; Steinmetz Robert; Sukmasuang Ronglarp; Bhumpakphan Naris; Grassman Lon I. Jr.; Cutter Passanan; Kitamura Shumpei; Reed David H.; Baker Megan C.; McShea William; Songsasen Nucharin; Leimgruber Peter,8,activity_pattern,,,,,,tiger leopard,mammals,carnivore,,,Multiple,,ct,Thailand,Asia,RAFFLES BULLETIN OF ZOOLOGY,FEB 28 2013,2013,61,1,,
49,INVERTEBRATES OUTCOMPETE VERTEBRATE FACULTATIVE SCAVENGERS IN SIMULATED LYNX KILLS IN THE BAVARIAN FOREST NATIONAL PARK GERMANY,Ray R. -R.; Seibold H.; Heurich M.,6,interaction,,,,scavengers,MultiObj,vertebrate invertebrate,mammals,,,,Multiple,,ct,Germany,Europe,ANIMAL BIODIVERSITY AND CONSERVATION,2014,2014,37,1,,
